Running simulation for n_fluences=12
Tensors initialization on device cuda
Multiprobe = None

('MSE', None) RECONSTRUCTIONS

Reconstruction for fluence = 100.0 photons/pixel
Epoch 135: loss = 1156386.0 | lr = 1.0000000000000005e-09
Stopping early due to low learning rate
Reconstruction for fluence = 1232.8467394420659 photons/pixel
Epoch 0: loss = 2216633.580078125 | lr = 0.1
Epoch 1: loss = 1563520.248046875 | lr = 0.1
Epoch 2: loss = 1572623.62109375 | lr = 0.1
Epoch 3: loss = 1578672.232421875 | lr = 0.1
Epoch 4: loss = 1585138.974609375 | lr = 0.1
Epoch 5: loss = 1584540.75 | lr = 0.1
Epoch 6: loss = 1592797.892578125 | lr = 0.1
Epoch 7: loss = 1594014.69921875 | lr = 0.1
Epoch 8: loss = 1594489.16796875 | lr = 0.1
Epoch 9: loss = 1595064.45703125 | lr = 0.1
Epoch 10: loss = 1596862.330078125 | lr = 0.010000000000000002
Epoch 11: loss = 1621533.875 | lr = 0.010000000000000002
Epoch 12: loss = 1547265.25 | lr = 0.010000000000000002
Epoch 13: loss = 1544423.0 | lr = 0.010000000000000002
Epoch 14: loss = 1559666.0 | lr = 0.010000000000000002
Epoch 15: loss = 1560364.0 | lr = 0.010000000000000002
Epoch 16: loss = 1552680.625 | lr = 0.010000000000000002
Epoch 17: loss = 1545545.25 | lr = 0.010000000000000002
Epoch 18: loss = 1541325.75 | lr = 0.010000000000000002
Epoch 19: loss = 1539004.125 | lr = 0.010000000000000002
Epoch 20: loss = 1537520.5 | lr = 0.010000000000000002
Epoch 21: loss = 1536183.375 | lr = 0.010000000000000002
Epoch 22: loss = 1534655.25 | lr = 0.010000000000000002
Epoch 23: loss = 1533201.5 | lr = 0.010000000000000002
Epoch 24: loss = 1531785.25 | lr = 0.010000000000000002
Epoch 25: loss = 1530331.75 | lr = 0.010000000000000002
Epoch 26: loss = 1529058.75 | lr = 0.010000000000000002
Epoch 27: loss = 1528061.0 | lr = 0.010000000000000002
Epoch 28: loss = 1527261.75 | lr = 0.010000000000000002
Epoch 29: loss = 1526543.5 | lr = 0.010000000000000002
Epoch 30: loss = 1525881.25 | lr = 0.010000000000000002
